date,MKT,RF,Fund_A,Fund_B
2015-01-02,-0.0012,0.0,0.0025831603312436494,0.00978404100065313
2015-01-05,-0.0184,0.0,-0.0032082912883079186,-0.013997264027351354
2015-01-06,-0.0103,0.0,-0.0011743015039557313,-0.006472625050469905
2015-01-07,0.011899999999999999,0.0,0.0009046335399109972,0.028608823425141826
2015-01-08,0.0181,0.0,0.007686997243760203,0.012472592563963577
2015-01-09,-0.0085,0.0,-0.004340005389223562,-0.027880742410631376
2015-01-12,-0.0078000000000000005,0.0,-0.001590614756438988,-0.014054795729597587
2015-01-13,-0.0019,0.0,0.003491120245067032,0.00386240580048242
2015-01-14,-0.006,0.0,-0.004063384074539081,-0.00464476330025028
2015-01-15,-0.0108,0.0,0.0005525901206765238,-0.01999285092422021
2015-01-16,0.013600000000000001,0.0,0.012869216084142834,0.018448047542971326
2015-01-20,0.0011,0.0,-0.0013865628857750922,0.003238824992769729
2015-01-21,0.0042,0.0,0.0013584465082912252,0.023620927948008536
2015-01-22,0.0158,0.0,0.006751601347631798,0.027377688973580533
2015-01-23,-0.004699999999999999,0.0,0.003744773230545504,-0.008656710510725474
2015-01-26,0.0042,0.0,0.004900433709738226,0.004661213746863044
2015-01-27,-0.012199999999999999,0.0,-0.004804383299444026,-0.029187684173963425
2015-01-28,-0.0139,0.0,-0.015040620747853587,-0.012105594524780858
2015-01-29,0.0098,0.0,0.01352725678130599,0.02516788565031703
2015-01-30,-0.0131,0.0,-0.004835476652580856,-0.017812510082432786
2015-02-02,0.0124,0.0,0.010692065438702275,0.02281717983390793
2015-02-03,0.0149,0.0,0.010929251189695751,0.03323362379854761
2015-02-04,-0.0034999999999999996,0.0,-0.006182940091916743,-0.007082331874048071
2015-02-05,0.011000000000000001,0.0,0.01453232378010116,0.02710421521221333
2015-02-06,-0.002,0.0,0.004876521330065207,0.0030066547824270885
2015-02-09,-0.0046,0.0,0.0037593051428674645,-0.004618126239449476
2015-02-10,0.0105,0.0,0.013078061079561665,0.0037281860008923796
2015-02-11,0.0003,0.0,-0.009453678202597795,0.008801894958329011
2015-02-12,0.01,0.0,0.004864713161564043,0.017351522544086784
2015-02-13,0.004699999999999999,0.0,0.0030083860930364354,0.004064289241105144
2015-02-17,0.0016,0.0,0.0016784218315025097,-0.008215532472723896
2015-02-18,0.0003,0.0,0.0025556352533067745,-0.018033089580140986
2015-02-19,-0.0001,0.0,-0.003459551245640946,-0.006147837817513634
2015-02-20,0.0060999999999999995,0.0,0.008527949872185482,0.003484295170446368
2015-02-23,-0.0008,0.0,0.0030618296843905692,-0.004409011437562043
2015-02-24,0.0032,0.0,0.0044103488817170905,-0.007987736751315602
2015-02-25,0.0001,0.0,-0.0004980325975387559,0.0019365542777799144
2015-02-26,-0.0008,0.0,0.005475376834630434,0.0065197163293587304
2015-02-27,-0.0036,0.0,-0.005782326923873341,0.006819306171469678
2015-03-02,0.0062,0.0,0.0006146054328758609,0.0063486344146592025
2015-03-03,-0.0043,0.0,-0.004958199844585965,-0.003633520927602832
2015-03-04,-0.0040999999999999995,0.0,-0.017617548454091216,-0.0004989111397680282
2015-03-05,0.0015,0.0,-0.0009881413063405442,-0.004527260095705701
2015-03-06,-0.0129,0.0,-0.005917514008121351,-0.030231840794131236
2015-03-09,0.0037,0.0,-0.0014563725313131541,0.006174695320583028
2015-03-10,-0.0163,0.0,-0.011572066051766156,-0.024152106841246086
2015-03-11,-0.0003,0.0,0.005410093681810033,0.0012780553936474546
2015-03-12,0.0128,0.0,0.006332608044822541,0.0007835436074415912
2015-03-13,-0.0058,0.0,-0.015905648198918366,-0.004047873406078
2015-03-16,0.0124,0.0,0.01565956763615025,0.017778494638896
2015-03-17,-0.0019,0.0,0.0030973050362806008,0.0035571852897953865
2015-03-18,0.0109,0.0,0.010429954827755453,0.0026853843823707035
2015-03-19,-0.0036,0.0,-0.002243223382970747,-0.004087741546590086
2015-03-20,0.008100000000000001,0.0,-0.00400583500772286,0.022997118003558317
2015-03-23,-0.0019,0.0,0.0002908973937793875,0.0006387683840399848
2015-03-24,-0.0051,0.0,0.0006138918327625118,0.01018497480477052
2015-03-25,-0.015600000000000001,0.0,0.0008558707163794175,-0.025085722139547247
2015-03-26,-0.0022,0.0,0.006972826182161971,-0.01950314858907735
2015-03-27,0.0032,0.0,0.003914630649119278,0.008307912604019366
2015-03-30,0.0124,0.0,0.010143277082496353,0.028088519843028424
2015-03-31,-0.0075,0.0,-0.00969623137753872,-0.007045182177295141
2015-04-01,-0.0038,0.0,-0.0015681852253804974,0.0023160342494767915
2015-04-02,0.0034999999999999996,0.0,-0.0015560228576901522,-0.003499487125107735
2015-04-06,0.0060999999999999995,0.0,0.00321563873237937,0.01049488937368693
